J,h,magnetization_density
0.490,2.878,0.013724
0.490,2.939,0.014250
0.490,3.000,0.014792
0.551,0.000,-0.000282
0.551,0.061,-0.000172
0.551,0.122,-0.000144
0.551,0.184,0.000406
0.551,0.245,0.000416
0.551,0.306,0.000528
0.551,0.367,0.001012
0.551,0.429,0.001400
0.551,0.490,0.001534
0.551,0.551,0.001698
0.551,0.612,0.001238
0.551,0.673,0.001520
0.551,0.735,0.001690
0.551,0.796,0.002158
0.551,0.857,0.002348
0.551,0.918,0.002776
0.551,0.980,0.002364
0.551,1.041,0.002276
0.551,1.102,0.002656
0.551,1.163,0.000882
0.551,1.224,0.000672
0.551,1.286,0.000592
0.551,1.347,0.000634
0.551,1.408,0.000704
0.551,1.469,0.005728
0.551,1.531,0.006186
0.551,1.592,0.006538
0.551,1.653,0.006726
0.551,1.714,0.006910
0.551,1.776,0.007362
0.551,1.837,0.007778
0.551,1.898,0.007210
0.551,1.959,0.007420
0.551,2.020,0.007870
0.551,2.082,0.008208
0.551,2.143,0.008622
0.551,2.204,0.008960
0.551,2.265,0.008806
0.551,2.327,0.009270
0.551,2.388,0.009966
0.551,2.449,0.010278
0.551,2.510,0.011230
0.551,2.571,0.011970
0.551,2.633,0.012078
0.551,2.694,0.012568
0.551,2.755,0.011918
0.551,2.816,0.012436
0.551,2.878,0.012716
0.551,2.939,0.013396
0.551,3.000,0.013770
0.612,0.000,-0.000606
0.612,0.061,-0.000228
0.612,0.122,0.000426
0.612,0.184,0.000684
0.612,0.245,0.000636
0.612,0.306,0.000620
0.612,0.367,0.001002
0.612,0.429,0.001270
0.612,0.490,0.001308
0.612,0.551,0.001432
0.612,0.612,0.001574
0.612,0.673,0.001846
0.612,0.735,0.001698
0.612,0.796,0.002042
0.612,0.857,0.002396
0.612,0.918,0.002660
0.612,0.980,0.002456
0.612,1.041,0.002586
0.612,1.102,0.002854
0.612,1.163,0.003210
0.612,1.224,0.003738
0.612,1.286,0.004296
0.612,1.347,0.004570
0.612,1.408,0.002396
0.612,1.469,0.002582
0.612,1.531,0.003100
0.612,1.592,0.003780
0.612,1.653,0.004244
0.612,1.714,0.004322
0.612,1.776,0.004520
0.612,1.837,0.007952
0.612,1.898,0.008288
0.612,1.959,0.008644
0.612,2.020,0.008952
0.612,2.082,0.007886
0.612,2.143,0.008082
0.612,2.204,0.008318
0.612,2.265,0.008372
0.612,2.327,0.008638
0.612,2.388,0.008932
0.612,2.449,0.009264
0.612,2.510,0.009564
0.612,2.571,0.010036
0.612,2.633,0.010424
0.612,2.694,0.011826
0.612,2.755,0.012308
0.612,2.816,0.012838
0.612,2.878,0.013430
0.612,2.939,0.013848
0.612,3.000,0.014328
0.673,0.000,-0.000460
0.673,0.061,-0.000528
0.673,0.122,-0.000502
0.673,0.184,-0.000214
0.673,0.245,0.000244
0.673,0.306,0.000524
0.673,0.367,0.000654
0.673,0.429,0.000836
0.673,0.490,0.001022
0.673,0.551,-0.000158
0.673,0.612,0.000088
0.673,0.673,0.000164
0.673,0.735,0.000552
0.673,0.796,0.000798
0.673,0.857,0.000826
0.673,0.918,0.003488
0.673,0.980,0.003810
0.673,1.041,0.003982
0.673,1.102,0.004084
0.673,1.163,0.004440
0.673,1.224,0.004700
0.673,1.286,0.005024
0.673,1.347,0.003276
0.673,1.408,0.003504
0.673,1.469,0.003884
0.673,1.531,0.004382
0.673,1.592,0.005716
0.673,1.653,0.006212
0.673,1.714,0.006274
0.673,1.776,0.006788
0.673,1.837,0.008166
0.673,1.898,0.008420
0.673,1.959,0.008728
0.673,2.020,0.009192
0.673,2.082,0.009490
0.673,2.143,0.009742
0.673,2.204,0.011274
0.673,2.265,0.011632
0.673,2.327,0.012112
0.673,2.388,0.012290
0.673,2.449,0.012638
0.673,2.510,0.012844
0.673,2.571,0.013144
0.673,2.633,0.013108
0.673,2.694,0.013588
0.673,2.755,0.014038
0.673,2.816,0.014418
0.673,2.878,0.014978
0.673,2.939,0.016222
0.673,3.000,0.016850
0.735,0.000,-0.000152
0.735,0.061,0.000096
0.735,0.122,0.002414
0.735,0.184,0.002440
0.735,0.245,0.002552
0.735,0.306,0.002930
0.735,0.367,0.002758
0.735,0.429,0.000604
0.735,0.490,0.000718
0.735,0.551,0.000884
0.735,0.612,0.001368
0.735,0.673,0.001768
0.735,0.735,0.002206
0.735,0.796,0.002580
0.735,0.857,0.002872
0.735,0.918,0.003038
0.735,0.980,0.003282
0.735,1.041,0.003446
0.735,1.102,0.004000
0.735,1.163,0.005000
0.735,1.224,0.005364
0.735,1.286,0.005422
0.735,1.347,0.005308
0.735,1.408,0.005274
0.735,1.469,0.005272
0.735,1.531,0.005794
0.735,1.592,0.006382
0.735,1.653,0.007008
0.735,1.714,0.008834
0.735,1.776,0.009246
0.735,1.837,0.009276
0.735,1.898,0.009592
0.735,1.959,0.009974
0.735,2.020,0.010384
0.735,2.082,0.010620
0.735,2.143,0.009788
